Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
14	al,Write	imm8			I			V,V
15	ax,Write	imm16			I	OperandSizeOverride		V,V
15	eax,Write	imm32			I			V,V
15	rax,Write	imm32,Signed			I	REX.W		V,NE
80/2	rm8,Write	imm8			MI			V,V
81/2	rm16,Write	imm16			MI	OperandSizeOverride		V,V
81/2	rm32,Write	imm32			MI			V,V
81/2	rm64,Write	imm32,Signed			MI	REX.W		V,NE
83/2	rm16,Write	imm8,Signed			MI	OperandSizeOverride		V,V
83/2	rm32,Write	imm8,Signed			MI			V,V
83/2	rm64,Write	imm8,Signed			MI	REX.W		V,NE
10	rm8,Write	r8			MR			V,V
11	rm16,Write	r16			MR	OperandSizeOverride		V,V
11	rm32,Write	r32			MR			V,V
11	rm64,Write	r64			MR	REX.W		V,NE
12	r8,Write	rm8			RM			V,V
13	r16,Write	rm16			RM	OperandSizeOverride		V,V
13	r32,Write	rm32			RM			V,V
13	r64,Write	rm64			RM	REX.W		V,NE
